Node_ID	Description	Sub-family	Colour (Sub-family)
MG189906	Stenotrophomonas phage vB_SmaS_DLP_5	Unclassified	#D3D3D3
KU245542	Pseudomonas phage SM1	Unclassified	#D3D3D3
CP017837	Proteobacteria phage MWH-Nonnen-W8red 2	Unclassified	#D3D3D3
KX130863	Shigella phage SHSML-45	Markadamsvirinae	#450410
CP017838	Proteobacteria phage MWH-Nonnen-W8red 1	Unclassified	#D3D3D3
MF276773	Erwinia phage EtG	Unclassified	#D3D3D3
MF768470	Pseudomonas phage SL1	Unclassified	#D3D3D3
MF768469	Pseudomonas phage SL4	Unclassified	#D3D3D3
AP018487	Mycobacterium phage HC	Chebruvirinae	#AEEC11
AP018486	Mycobacterium phage PP	Unclassified	#D3D3D3
AP018485	Mycobacterium phage B1	Unclassified	#D3D3D3
MG766218	Staphylococcus phage vB_SauP_phiAGO1.3	Rakietenvirinae	#61DDDD
MG592672	Vibrio phage 3.058.O._10N.286.46.B8	Unclassified	#D3D3D3
MG592671	Vibrio phage 2.275.O._10N.286.54.E11	Unclassified	#D3D3D3
MG592670	Vibrio phage 2.159.B._10N.261.46.F12	Unclassified	#D3D3D3
MG592669	Vibrio phage 2.159.A._10N.261.46.F12	Unclassified	#D3D3D3
MG592668	Vibrio phage 2.130.O._10N.222.46.C2	Pontosvirinae	#930A30
MG592667	Vibrio phage 2.117.O._10N.261.45.E9	Queuovirinae	#4754CD
MG592666	Vibrio phage 2.096.O._10N.286.48.B5	Unclassified	#D3D3D3
MG592665	Vibrio phage 2.095.B._10N.286.46.E10	Unclassified	#D3D3D3
MG592664	Vibrio phage 2.095.A._10N.286.46.E10	Unclassified	#D3D3D3
MG592662	Vibrio phage 2.058.O._10N.286.46.B8	Unclassified	#D3D3D3
MG592661	Vibrio phage 2.044.O._10N.261.51.B8	Unclassified	#D3D3D3
MG592660	Vibrio phage 1.293.O._10N.261.52.E1	Unclassified	#D3D3D3
MG592659	Vibrio phage 1.291.O._10N.286.55.F6	Unclassified	#D3D3D3
MG592658	Vibrio phage 1.289.A._10N.286.55.E8	Unclassified	#D3D3D3
MG592657	Vibrio phage 1.287.O._10N.286.55.C7	Unclassified	#D3D3D3
MG592656	Vibrio phage 1.286.O._10N.286.55.C4	Unclassified	#D3D3D3
MG592655	Vibrio phage 1.285.O._10N.286.55.C12	Unclassified	#D3D3D3
MG592654	Vibrio phage 1.284.A._10N.286.55.A5	Unclassified	#D3D3D3
MG592653	Vibrio phage 1.283.C._10N.286.55.A1	Unclassified	#D3D3D3
MG592652	Vibrio phage 1.283.B._10N.286.55.A1	Unclassified	#D3D3D3
MG592651	Vibrio phage 1.283.A._10N.286.55.A1	Unclassified	#D3D3D3
MG592650	Vibrio phage 1.282.A._10N.286.54.F8	Unclassified	#D3D3D3
MG592649	Vibrio phage 1.281.O._10N.286.54.F7	Unclassified	#D3D3D3
MG592648	Vibrio phage 1.280.O._10N.286.54.F6	Unclassified	#D3D3D3
MG592647	Vibrio phage 1.278.O._10N.286.54.E8	Unclassified	#D3D3D3
MG592646	Vibrio phage 1.277.B._10N.286.54.E7	Unclassified	#D3D3D3
MG592645	Vibrio phage 1.277.A._10N.286.54.E7	Unclassified	#D3D3D3
MG592644	Vibrio phage 1.276.O._10N.286.54.E4	Unclassified	#D3D3D3
MG592643	Vibrio phage 1.275.O._10N.286.54.E11	Unclassified	#D3D3D3
MG592642	Vibrio phage 1.274.O._10N.286.54.E1	Unclassified	#D3D3D3
MG592641	Vibrio phage 1.273.O._10N.286.54.C7	Unclassified	#D3D3D3
MG592640	Vibrio phage 1.272.O._10N.286.54.C4	Unclassified	#D3D3D3
MG592639	Vibrio phage 1.271.B._10N.286.54.B4	Unclassified	#D3D3D3
MG592638	Vibrio phage 1.271.A._10N.286.54.B4	Unclassified	#D3D3D3
MG592637	Vibrio phage 1.270.B._10N.286.54.A8	Unclassified	#D3D3D3
MG592636	Vibrio phage 1.270.A._10N.286.54.A8	Unclassified	#D3D3D3
MG592635	Vibrio phage 1.269.O._10N.286.54.A6	Unclassified	#D3D3D3
MG592634	Vibrio phage 1.268.B._10N.286.54.A11	Unclassified	#D3D3D3
MG592633	Vibrio phage 1.268.A._10N.286.54.A11	Unclassified	#D3D3D3
MG592632	Vibrio phage 1.267.O._10N.286.54.A1	Unclassified	#D3D3D3
MG592631	Vibrio phage 1.266.O._10N.286.52.F9	Unclassified	#D3D3D3
MG592630	Vibrio phage 1.265.O._10N.286.52.F6	Unclassified	#D3D3D3
MG592629	Vibrio phage 1.264.O._10N.286.51.F2	Unclassified	#D3D3D3
MG592628	Vibrio phage 1.263.B._10N.286.51.B1	Unclassified	#D3D3D3
MG592627	Vibrio phage 1.263.A._10N.286.51.B1	Unclassified	#D3D3D3
MG592626	Vibrio phage 1.262.O._10N.286.51.A9	Unclassified	#D3D3D3
MG592625	Vibrio phage 1.261.O._10N.286.51.A7	Unclassified	#D3D3D3
MG592624	Vibrio phage 1.259.O._10N.286.48.F4	Unclassified	#D3D3D3
MG592623	Vibrio phage 1.257.O._10N.286.46.A4	Unclassified	#D3D3D3
