Node_ID	Description	Family	Colour (Family)
PP978606	Klebsiella phage K14-2	Unclassified	#D3D3D3
PP977194	Acinetobacter phage vB_AbaM-SPB	Unclassified	#D3D3D3
PP973870	Klebsiella phage JLBP1001	Drexlerviridae	#86048D
PP995776	Staphylococcus phage UHP46	Herelleviridae	#EA8B1A
PP971698	Staphylococcus phage Pel11	Unclassified	#D3D3D3
PP965177	Bacillus phage KoopaTroopa	Unclassified	#D3D3D3
PP949967	Pseudomonas phage KV2023	Unclassified	#D3D3D3
PP952070	Staphylococcus phage Pel53	Chaseviridae	#42DB2E
PP944851	Enterococcus phage PMBT56	Unclassified	#D3D3D3
PP934445	Klebsiella phage P287	Drexlerviridae	#86048D
PP934444	Klebsiella phage P284	Autographiviridae	#26AD98
PP934443	Klebsiella phage P252	Autographiviridae	#26AD98
PP935708	Campylobacter phage vB_CJ12660_3PH123	Unclassified	#D3D3D3
PP935707	Salmonella phage vB_SE127_1PH123	Unclassified	#D3D3D3
PP935706	Salmonella phage vB_SE130_2P	Unclassified	#D3D3D3
PP935705	Salmonella phage vB_SE130_1P	Unclassified	#D3D3D3
PP935704	Salmonella phage vB_SE126_2P	Unclassified	#D3D3D3
PP935703	Salmonella phage vB_SE126_1P	Unclassified	#D3D3D3
PP926511	Klebsiella phage PMBT70	Unclassified	#D3D3D3
PP926510	Klebsiella phage PMBT64	Unclassified	#D3D3D3
PP926509	Klebsiella phage PMBT63	Unclassified	#D3D3D3
PP926508	Salmonella phage PMBT26	Unclassified	#D3D3D3
PP926507	Salmonella phage PMBT20	Unclassified	#D3D3D3
PP926506	Salmonella phage PMBT19	Unclassified	#D3D3D3
PP926505	Salmonella phage PMBT18	Unclassified	#D3D3D3
PP926504	Salmonella phage PMBT36	Unclassified	#D3D3D3
PP934564	Klebsiella phage RothD	Unclassified	#D3D3D3
PP934563	Klebsiella phage RothC	Unclassified	#D3D3D3
OZ038329	Friunavirus sp. BRC001	Autographiviridae	#26AD98
OZ075147	Salmonella phage Tennessee	Unclassified	#D3D3D3
PP461118	Enterobacteria phage ECP2307	Unclassified	#D3D3D3
PP588724	Salmonella phage STP-4	Ackermannviridae	#99CEE5
PP174317	Acinetobacter phage vB_AbaSt_W16	Unclassified	#D3D3D3
KY982929	Cronobacter phage CSP1	Unclassified	#D3D3D3
PP947710	Mycolicibacterium phage phi1_186018	Unclassified	#D3D3D3
PP942088	Salmonella phage vB_SenS_Jbel	Straboviridae	#E82358
PP934186	Vibrio phage P018-4	Unclassified	#D3D3D3
PP932687	Salmonella phage vB_SalP_LDDK01	Unclassified	#D3D3D3
PP954958	Klebsiella phage KpTRp1	Unclassified	#D3D3D3
PP920682	Acinetobacter phage P919	Unclassified	#D3D3D3
PP910332	Pseudomonas phage Baskent_P2_ICU	Unclassified	#D3D3D3
PP916319	Pseudomonas phage vB_PaeS_HTN2	Unclassified	#D3D3D3
PP916318	Pseudomonas phage vB_PaeP_HTN1	Unclassified	#D3D3D3
PP916317	Pseudomonas phage vB_PaeM_HTN4	Unclassified	#D3D3D3
PP916316	Pseudomonas phage vB_PaeM_HTN3	Unclassified	#D3D3D3
PQ072212	Erwinia phage Fifi051	Unclassified	#D3D3D3
PQ059400	Klebsiella phage phiYH65	Unclassified	#D3D3D3
PQ008975	Pectobacterium phage Taid	Unclassified	#D3D3D3
PQ008974	Pectobacterium phage Sabo	Unclassified	#D3D3D3
PQ008973	Pectobacterium phage Pappous	Unclassified	#D3D3D3
PQ008972	Pectobacterium phage Koroua	Unclassified	#D3D3D3
PQ008971	Pectobacterium phage Amona	Unclassified	#D3D3D3
PP232116	Mesorhizobium phage vB_MseS-P1	Unclassified	#D3D3D3
PP096838	Klebsiella phage vB_KpnP_KP17	Autographiviridae	#26AD98
OR371505	Listeria phage FHC193-PLM9	Unclassified	#D3D3D3
OR159660	Arthrobacter phage Lakshmi	Unclassified	#D3D3D3
OR263580	Streptomyces phage Samy	Unclassified	#D3D3D3
PP992516	Pseudomonas phage Baskent_P4_1	Unclassified	#D3D3D3
PP892526	Escherichia phage vB_EcoM_I14.1	Demerecviridae	#EABE70
PP892525	Escherichia phage vB_EcoS_I14	Unclassified	#D3D3D3
PP886230	Escherichia phage vB_EcoM_E9.1	Unclassified	#D3D3D3
PP886229	Escherichia phage vB_EcoM_E9	Unclassified	#D3D3D3
PP886228	Escherichia phage vB_EcoM_D4	Unclassified	#D3D3D3
OR455461	Staphylococcus phage AH12	Unclassified	#D3D3D3
OR479082	Staphylococcus phage FJ04	Unclassified	#D3D3D3
PP974560	Staphylococcus phage MSP15	Rountreeviridae	#3E1492
PP915726	Klebsiella phage pK3-24	Autographiviridae	#26AD98
PP977461	Pseudomonas phage vB_PaeP_4050	Unclassified	#D3D3D3
PP977460	Pseudomonas phage vB_PaeP_4024	Unclassified	#D3D3D3
PP977459	Pseudomonas phage vB_PaeM_4073	Unclassified	#D3D3D3
PP977458	Pseudomonas phage vB_PaeM_4005	Unclassified	#D3D3D3
PP977457	Pseudomonas phage vB_PaeM_4003	Unclassified	#D3D3D3
PP977456	Pseudomonas phage vB_PaeM_4002	Unclassified	#D3D3D3
PP977455	Pseudomonas phage vB_PaeM_1662	Unclassified	#D3D3D3
PP977454	Pseudomonas phage vB_PaeM_1650	Unclassified	#D3D3D3
